Rutting (mm),Fatigue_Cracking (m²),Block_Cracking (m²),Longitudinal_Cracking (m²),Transverse_Cracking (m²),Patching (m²),Potholes (Number),Delamination (m²),Severity_Rating,Traffic_Volume (vehicles/day),Temperature_C,Precipitation_mm,Maintenance_History
0.6774193548387097,0.6666666666666666,0.3,0.3272727272727274,0.6603773584905661,0.14074074074074067,0.5714285714285714,0.21666666666666679,0.5,0.5384615384615385,0.25,0.0,1.0
0.7096774193548385,0.4,0.6,0.26363636363636345,0.6226415094339622,0.14197530864197533,0.1428571428571428,0.19999999999999973,0.0,0.038461538461538464,0.17391304347826098,0.3599999999999999,1.0
0.2903225806451613,0.9999999999999999,0.6,0.5090909090909093,0.9245283018867926,0.11358024691358032,0.1428571428571428,0.6333333333333333,0.0,0.4358974358974359,0.8478260869565218,0.24,0.5
0.8387096774193548,0.8000000000000002,0.8,0.8090909090909091,0.9433962264150944,0.16543209876543202,0.2857142857142857,0.733333333333333,0.0,0.24358974358974358,0.3369565217391306,0.1399999999999999,0.5
0.5806451612903225,0.8666666666666668,0.9,0.5,0.9811320754716982,0.06296296296296294,0.857142857142857,0.6666666666666665,1.0,0.3846153846153846,0.13043478260869568,0.41999999999999993,0.5
0.45161290322580644,0.8000000000000002,0.4,0.6818181818181817,0.6981132075471699,0.05308641975308642,0.857142857142857,0.4166666666666665,0.0,0.3076923076923077,0.7500000000000001,0.48,0.5
0.3064516129032257,0.4,0.5,0.5363636363636362,0.8113207547169812,0.10740740740740745,0.4285714285714286,0.6166666666666663,1.0,0.20512820512820515,0.6521739130434784,0.7999999999999998,0.0
0.43548387096774194,0.4,0.3,0.6545454545454543,0.5660377358490567,0.16419753086419747,0.5714285714285714,0.5666666666666664,0.0,0.2564102564102564,0.5760869565217391,0.7000000000000002,0.0
0.3225806451612903,0.8000000000000002,0.8,0.4181818181818182,0.6981132075471699,0.14938271604938275,0.5714285714285714,0.5999999999999996,1.0,0.47435897435897434,0.7391304347826088,0.3999999999999999,0.5
0.693548387096774,0.5333333333333335,0.6,0.4636363636363636,0.7169811320754718,0.13827160493827167,0.857142857142857,0.4333333333333331,0.0,0.0641025641025641,0.6195652173913045,0.15999999999999992,0.5
0.40322580645161293,0.33333333333333337,0.4,0.6181818181818182,0.7735849056603773,0.12839506172839504,0.7142857142857142,0.4666666666666668,1.0,0.051282051282051294,0.07608695652173914,0.19999999999999996,0.5
0.35483870967741943,0.13333333333333341,0.5,0.3545454545454543,0.6415094339622642,0.07654320987654323,0.2857142857142857,0.1333333333333333,0.5,0.24358974358974358,0.3695652173913043,0.1399999999999999,1.0
0.46774193548387083,0.33333333333333337,0.4,0.36363636363636354,0.7547169811320755,0.1111111111111111,0.2857142857142857,0.08333333333333304,0.5,0.15384615384615383,0.5978260869565218,0.5,0.0
0.12903225806451607,0.4,0.8,0.13636363636363624,0.6415094339622642,0.1580246913580246,1.0,0.11666666666666625,1.0,0.07692307692307693,0.8260869565217394,0.1399999999999999,0.5
0.629032258064516,0.6,0.5,0.5272727272727273,0.9622641509433962,0.09506172839506172,0.857142857142857,0.6833333333333336,1.0,0.12820512820512822,0.43478260869565244,0.3799999999999999,1.0
0.7580645161290323,0.8666666666666668,0.9,0.7272727272727271,0.9056603773584906,0.1345679012345679,0.4285714285714286,0.2999999999999998,1.0,0.12820512820512822,0.22826086956521752,0.31999999999999984,0.5
0.1935483870967742,0.20000000000000007,0.3,0.2909090909090908,0.6603773584905661,0.16049382716049382,0.2857142857142857,0.25,0.5,0.9487179487179488,0.46739130434782605,0.43999999999999995,0.0
0.17741935483870958,0.6,0.5,0.5636363636363635,0.6603773584905661,0.12592592592592594,0.7142857142857142,0.16666666666666652,1.0,0.33333333333333337,0.6086956521739132,0.45999999999999996,0.0
0.48387096774193544,0.4666666666666667,0.3,0.6999999999999997,0.6037735849056605,0.10493827160493824,0.5714285714285714,0.2666666666666666,0.5,0.025641025641025633,0.44565217391304357,0.31999999999999984,0.0
0.7741935483870968,0.6666666666666666,0.6,0.7181818181818178,0.9811320754716982,0.08395061728395053,0.0,0.4833333333333334,1.0,0.3717948717948718,0.891304347826087,0.21999999999999997,0.5
0.532258064516129,0.6,0.4,0.25454545454545463,0.5471698113207547,0.16790123456790124,0.5714285714285714,0.7166666666666668,0.0,0.025641025641025633,0.0434782608695653,0.24,0.0
0.2258064516129032,0.33333333333333337,0.9,0.6000000000000001,0.7547169811320755,0.04814814814814811,0.5714285714285714,0.2333333333333334,0.0,0.08974358974358976,0.3804347826086959,0.48,0.0
0.564516129032258,0.6,0.7,0.5,0.7924528301886793,0.09876543209876548,0.4285714285714286,0.33333333333333304,1.0,0.025641025641025633,0.3152173913043478,0.7000000000000002,1.0
0.7419354838709675,0.2666666666666667,0.7,0.21818181818181803,0.7735849056603773,0.1506172839506173,0.2857142857142857,0.1499999999999999,0.0,0.19230769230769232,0.39130434782608703,0.3799999999999999,0.5
0.596774193548387,0.20000000000000007,0.4,0.3181818181818181,0.8867924528301888,0.09135802469135795,0.4285714285714286,0.44999999999999973,1.0,0.0,0.6847826086956522,0.54,1.0
0.3387096774193548,0.4,0.0,1.0,0.0,0.9999999999999998,0.1428571428571428,1.0,1.0,1.0,0.5108695652173915,0.7999999999999998,0.5
0.903225806451613,0.20000000000000007,0.3,0.5727272727272728,0.8490566037735849,0.0851851851851852,0.4285714285714286,0.3999999999999999,0.5,0.01282051282051283,0.8695652173913045,0.09999999999999987,0.0
0.2741935483870968,0.06666666666666676,0.0,0.6363636363636362,0.0,0.728395061728395,0.4285714285714286,0.25,0.5,0.39743589743589747,0.6739130434782609,0.09999999999999987,0.0
0.6129032258064515,0.7333333333333333,0.9,0.8181818181818179,0.9622641509433962,0.0,0.7142857142857142,0.0,1.0,0.35897435897435903,1.0,0.3999999999999999,1.0
0.0,0.0,0.3,0.018181818181818077,0.8867924528301888,0.020987654320987703,0.0,0.583333333333333,0.5,0.10256410256410256,0.7065217391304349,0.6000000000000001,1.0
0.9677419354838708,0.4666666666666667,0.9,0.34545454545454546,0.9433962264150944,0.17283950617283944,0.5714285714285714,0.6666666666666665,1.0,0.3846153846153846,0.9782608695652176,0.30000000000000004,1.0
0.8225806451612903,0.7333333333333333,0.7,0.7636363636363632,0.8679245283018868,0.1320987654320988,0.0,0.18333333333333313,0.5,0.11538461538461539,0.9130434782608695,0.17999999999999994,0.0
